postnr;navn;stormodtager
1777;København V;false
1785;København V;true
1786;København V;true
1787;København V;true
1799;København V;false
1800;Frederiksberg C;false
1801;Frederiksberg C;false
1802;Frederiksberg C;false
1803;Frederiksberg C;false
1804;Frederiksberg C;false
1805;Frederiksberg C;false
1806;Frederiksberg C;false
1807;Frederiksberg C;false
1808;Frederiksberg C;false
1809;Frederiksberg C;false
1810;Frederiksberg C;false
1811;Frederiksberg C;false
1812;Frederiksberg C;false
1813;Frederiksberg C;false
1814;Frederiksberg C;false
1815;Frederiksberg C;false
1816;Frederiksberg C;false
1817;Frederiksberg C;false
1818;Frederiksberg C;false
1819;Frederiksberg C;false
1820;Frederiksberg C;false
1822;Frederiksberg C;false
1823;Frederiksberg C;false
1824;Frederiksberg C;false
1825;Frederiksberg C;false
1826;Frederiksberg C;false
1827;Frederiksberg C;false
1828;Frederiksberg C;false
1829;Frederiksberg C;false
1850;Frederiksberg C;false
1851;Frederiksberg C;false
1852;Frederiksberg C;false
1853;Frederiksberg C;false
1854;Frederiksberg C;false
1855;Frederiksberg C;false
1856;Frederiksberg C;false
1857;Frederiksberg C;false
1860;Frederiksberg C;false
1861;Frederiksberg C;false
1862;Frederiksberg C;false
1863;Frederiksberg C;false
1864;Frederiksberg C;false
1865;Frederiksberg C;false
1866;Frederiksberg C;false
1867;Frederiksberg C;false
1868;Frederiksberg C;false
1870;Frederiksberg C;false
1871;Frederiksberg C;false
1872;Frederiksberg C;false
1873;Frederiksberg C;false
1874;Frederiksberg C;false
1875;Frederiksberg C;false
1876;Frederiksberg C;false
1877;Frederiksberg C;false
1878;Frederiksberg C;false
1879;Frederiksberg C;false
1900;Frederiksberg C;false
1901;Frederiksberg C;false
1902;Frederiksberg C;false
1903;Frederiksberg C;false
1904;Frederiksberg C;false
1905;Frederiksberg C;false
1906;Frederiksberg C;false
1908;Frederiksberg C;false
1909;Frederiksberg C;false
1910;Frederiksberg C;false
1911;Frederiksberg C;false
1912;Frederiksberg C;false
1913;Frederiksberg C;false
1914;Frederiksberg C;false
1915;Frederiksberg C;false
1916;Frederiksberg C;false
1917;Frederiksberg C;false
1920;Frederiksberg C;false
1921;Frederiksberg C;false
1922;Frederiksberg C;false
1923;Frederiksberg C;false
1924;Frederiksberg C;false
1925;Frederiksberg C;false
1926;Frederiksberg C;false
1927;Frederiksberg C;false
1928;Frederiksberg C;false
1950;Frederiksberg C;false
1951;Frederiksberg C;false
1952;Frederiksberg C;false
1953;Frederiksberg C;false
1954;Frederiksberg C;false
1955;Frederiksberg C;false
1956;Frederiksberg C;false
1957;Frederiksberg C;false
1958;Frederiksberg C;false
1959;Frederiksberg C;false
1960;Frederiksberg C;false
1961;Frederiksberg C;false
1962;Frederiksberg C;false
1963;Frederiksberg C;false
1964;Frederiksberg C;false
1965;Frederiksberg C;false
1966;Frederiksberg C;false
1967;Frederiksberg C;false
1970;Frederiksberg C;false
1971;Frederiksberg C;false
1972;Frederiksberg C;false
1973;Frederiksberg C;false
1974;Frederiksberg C;false
2000;Frederiksberg;false
2100;København Ø;false
2150;Nordhavn;false
2200;København N;false
2300;København S;false
2400;København NV;false
2450;København SV;false
2500;Valby;false
2600;Glostrup;false
2605;Brøndby;false
2610;Rødovre;false
2620;Albertslund;false
2625;Vallensbæk;false
2630;Taastrup;false
2635;Ishøj;false
2640;Hedehusene;false
2650;Hvidovre;false
2660;Brøndby Strand;false
2665;Vallensbæk Strand;false
2670;Greve;false
2680;Solrød Strand;false
2690;Karlslunde;false
2700;Brønshøj;false
2720;Vanløse;false
2730;Herlev;false
2740;Skovlunde;false
2750;Ballerup;false
2760;Måløv;false
2765;Smørum;false
2770;Kastrup;false
2791;Dragør;false
2800;Kgs. Lyngby;false
2820;Gentofte;false
2830;Virum;false
2840;Holte;false
2850;Nærum;false
