kode;navn
1211052;Herborg By, Videbæk
1211053;Videbæk By, Videbæk
1211151;Egeris Gde., Nr. Vium
1211152;Fiskbæk By, Nr. Vium
1211153;Gåsdal, Nr. Vium
1211154;Nr. Vium By, Nr. Vium
1211155;Den østlige Del, Nr. Vium
1211156;Sønderup Gde., Nr. Vium
1211157;Viumkrog, Nr. Vium
1211251;Abildtrup By, Vorgod
1211252;Barde By, Vorgod
1211253;Ll. Alle Gde., Vorgod
1211254;Ll. Fjelstervang By, Vorgod
1211255;St. Alle Gde., Vorgod
1211256;St. Fjelstervangs nordlige Del, Vorgod
1211257;St. Fjelstervangs sydlige Del, Vorgod
1211258;Vorgod By, Vorgod
1211259;Vorgod Hede, Vorgod
2007351;Ringkøbing Bygrunde
2007352;Ringkøbing Markjorder
2007353;Nørby, Ringkøbing Jorder
2008751;Skjern Bygrunde
2008752;Ånum, Skjern Jorder
2008753;Albæk, Skjern Jorder
2008754;Damsø Enge, Skjern Jorder
2008755;Engsig, Skjern Jorder
2008756;Ganer, Skjern Jorder
2008757;Lundenæs Hgd., Skjern Jorder
2008758;Mærskengene, Skjern Jorder
2008759;Hedeby, Skjern Jorder
2008760;V. Marup, Skjern Jorder
2008761;V. Birk, Skjern Jorder
2008762;Ø. Marup, Skjern Jorder
200151;Agerup By, Besser
200152;Alstrup By, Besser
200153;Besser By, Besser
200154;Langemark By, Besser
200155;Torup By, Besser
200156;Østerby By, Besser
200251;Hårdmark By, Kolby
200252;Kolby By, Kolby
200253;Krogsgårde, Kolby
200254;Permelille By, Kolby
200255;Pillemark By, Kolby
200351;Mårup By, Nordby
200352;Nordby By, Nordby
200353;Nordby Hede, Nordby
200451;Bisgård Hgd., Onsbjerg
200452;Onsbjerg By, Onsbjerg
200453;Pillemark By, Onsbjerg
200454;Selsinggårde, Onsbjerg
200455;Stavns By, Onsbjerg
200456;Tanderup By, Onsbjerg
200457;Toftebjerg By, Onsbjerg
200458;Vadstrup By, Onsbjerg
200551;Brattingsborg Hgd., Tranebjerg
200552;Brundby By, Tranebjerg
200553;Pillemark By, Tranebjerg
200554;Tranebjerg By, Tranebjerg
200555;Ørby By, Tranebjerg
800451;Ans By, Grønbæk
800452;Brårup By, Grønbæk
800453;Grønbæk By, Grønbæk
800454;Iller By, Grønbæk
800455;Naderup Gde., Grønbæk
800456;Ris Gde., Grønbæk
800457;Roe By, Grønbæk
800551;Astrup By, Hinge
800552;Frausing By, Hinge
800553;Havehushave, Hinge
800554;Hinge By, Hinge
800751;Almtoft By, Hørup
800752;Dalsgård, Hørup
800753;Hørup By, Hørup
800754;Kjellerup By, Hørup
800951;Bukkrog, Levring
800952;Døssing By, Levring
800953;Hindbjerg By, Levring
800954;Levring By, Levring
800955;Midstrup By, Levring
800956;Palstrup Hgd., Levring
801151;Aunsbjerg Hgd., Sjørslev
801152;Brødløsgård, Sjørslev
801153;Demstrup By, Sjørslev
801154;Mellem Vandet, Sjørslev
801155;Sjørslev By, Sjørslev
801156;V. Vandet, Sjørslev
801157;Ø. Vandet, Sjørslev
801251;Bækgård, Thorning
801252;Grågårde, Thorning
801253;Gråmose, Thorning
801254;Kompedal, Thorning
801255;Kærsholm, Thorning
801256;Nr. Knudstrup By, Thorning
801257;Oddermark, Thorning
801258;Ravnholt, Thorning
801259;Sangildgård, Thorning
801260;Skræ By, Thorning
801261;Stenrøgel, Thorning
801262;Gråskov, Thorning
801263;Impgårde, Thorning
801264;Sdr. Knudstrup, Thorning
801265;Thorning By, Thorning
801266;Ungstrup By, Thorning
801267;Vattrup By, Thorning
801351;Elkær By, Vinderslev
801352;Fruerlund, Vinderslev
801353;Fuglemose, Vinderslev
801354;Hauge By, Vinderslev
801355;Hedehuse, Vinderslev
801356;Hønholt, Vinderslev
801357;Lysdalgårde, Vinderslev
801358;Mausing By, Vinderslev
801359;Mausing Mølle, Vinderslev
801360;Pederstrup By, Vinderslev
801361;Revl, Vinderslev
801362;Skovhus, Vinderslev
801363;Vinderslev By, Vinderslev
801364;Ny Vinderslevgård, Vinderslev
801365;Voer, Vinderslev
801451;Kongemose, Vium
801452;Marsvinslund Hgd., Vium
801453;Neder Hvam, Vium
801454;Nipgård, Vium
801455;Over Hvam, Vium
801456;Stendalgård, Vium
801457;Vium By, Vium
810151;Balle By, Balle
810152;Hvinningdal By, Balle
810153;Kærsgård, Balle
810154;Overgårde, Balle
810155;V. Bording, Balle
810156;V. Kejlstrup, Balle
810157;Ø. Bording By, Balle
810351;Elling, Funder
810352;Funder By, Funder
810353;Funder Kirkeby By, Funder
810354;Pårup By, Funder
810355;Sejlgård Hgd., Funder
810356;Tollund, Funder
810451;Gødvad By, Gødvad
810452;Nørreskov, Gødvad
810453;Resendal By, Gødvad
810454;Ø. Kejlstrup, Gødvad
810551;Bollund Sø, Kragelund
810552;Frederiksdal, Kragelund
810553;Ll. Klosterlund, Kragelund
810554;Kragelund By, Kragelund
810555;Refshale By, Kragelund
810556;Stenholt By, Kragelund
810557;Christianshøj, Kragelund
810651;Lemming By, Lemming
810652;Nisset By, Lemming
810751;Ebstrup By, Sejling
810752;Sejling By, Sejling
810851;Holmgårde, Serup
810852;Høgdal, Serup
810853;Resdal By, Serup
810854;Serup By, Serup
810855;Tandskov, Serup
810951;Sinding By, Sinding
811051;Allinggård Hgd., Svostrup
811052;Borup By, Svostrup
811053;Dalsgårde, Svostrup
811054;Grauballe By, Svostrup
811055;Nebel, Svostrup
811056;Svostrup By, Svostrup
1050151;Løve By, Bryrup
1050152;Sejt Gde., Bryrup
1050153;Velling By, Bryrup
1051051;Langballe Gde., Vinding
1051052;Vinding By, Vinding
1051053;Vinding Bys Skov, Vinding
1060251;Dallerup By, Dallerup
1060252;Sorring By, Dallerup
1060253;Tovstrup By, Dallerup
1060254;Volstrup Mark, Dallerup
1060351;Gjern By, Gjern
1060352;Ellerup By, Gjern
1060353;Nårup By, Gjern
1060354;Søbyvad, Gjern
1060651;Bjarup Mark, Linå
1060652;Hårup By, Linå
1060653;Kærsmølle, Linå
1060654;Laven By, Linå
1060655;Linå By, Linå
1060656;Mollerup By, Linå
1060657;Skellerup By, Linå
1060658;Skellerup Nygårde, Linå
1060852;Skorup By, Skorup
1060951;Dalby By, Skannerup
1060952;Holmstol By, Skannerup
1060953;Skannerup By, Skannerup
1061351;Dalby By, Tvilum
1061352;Fårvang By, Tvilum
1061353;Gjern By, Tvilum
1061354;Horn By, Tvilum
1061355;Ladegårds Enge, Tvilum
1061356;Truust By, Tvilum
1061357;Tvilum Hgd., Tvilum
1061551;Sminge By, Voel
1061552;Voel By, Voel
1090751;Asklev By, Them
1090752;Brande, Them
1090753;Bødskov Gde., Them
1090754;Engetved By, Them
1090755;Fogstrup By, Them
1090756;Gjessø By, Them
1090757;Hedegård, Them
1090758;Hjortsballe By, Them
1090759;Lindegårde, Them
1090760;Lovdal Gde., Them
1090761;Løgager By, Them
1090762;Pårup By, Them
1090763;Rustrup Gde., Them
1090764;Salten By, Them
1090765;Sepstrup By, Them
1090766;Them By, Them
1090767;Tolstrup By, Them
1090768;Tømmerby By, Them
1090769;Virklund By, Them
1090770;Vorret By, Them
1091051;Ansø Møllegård, Vrads
1091052;Favrholt, Vrads
1091053;Godrum, Vrads
1091054;Ll. Bredlund By, Vrads
1091055;Snabegård, Vrads
1091056;St. Bredlund By, Vrads
1091057;St. Hjøllund By, Vrads
1091058;Torup By, Vrads
1091059;Vipskovgård, Vrads
1091060;Vrads By, Vrads
2006551;Silkeborg Bygrunde
2006552;Silkeborg Markjorder
990451;Sjelle By, Sjelle
990452;Vedelslund Hgd., Sjelle
990551;Herskind By, Skivholme
990552;Skivholme By, Skivholme
990553;Terp By, Skivholme
990651;Kristinedal, Skovby
990652;Skovby By, Skovby
990751;Rode By, Skjørring
990752;Skjørring By, Skjørring
990851;Stjær By, Stjær
990951;Gammelgård, Storring
990952;Høver By, Storring
990953;Storring By, Storring
991051;Galten By, Galten
1040151;Adslev By, Adslev
1040152;Jeksen By, Adslev
1040153;Kollens Mølle, Adslev
1040251;Blegind By, Blegind
1040351;Alken By, Dover
1040352;Bjedstrup By, Dover
1040353;Boes By, Dover
1040354;Firgårde By, Dover
1040355;Hemstok By, Dover
1040356;Illerup By, Dover
1040357;Nygårde By, Dover
1040358;Siim By, Dover
1040359;Svejstrup By, Dover
1040451;Fruering By, Fruering
1040452;Gjesing By, Fruering
1040453;Hedemølle, Fruering
1040454;Hvolbæk By, Fruering
1040455;Lethenborg, Fruering
1040456;Skårup By, Fruering
1040457;Sophienlund, Fruering
1040458;Svinsager By, Fruering
1040459;Vestermølle, Fruering
1040460;Virring By, Fruering
1040551;Bjertrup By, Hørning
1040552;Dørup By, Hørning
1040553;Fregerslev By, Hørning
1040554;Hørning By, Hørning
1040651;Mesing By, Mesing
1040952;Vitved By, Vitved
1041051;Hårby By, Veng
1041052;Nr. Vissing By, Veng
1041053;Søballe By, Veng
1041054;Veng By, Veng
1050551;Emborg By, Gl. Rye
1050552;Gl. Rye By, Gl. Rye
1050553;Rye Mølle, Gl. Rye
1050554;Rye Nørreskov, Gl. Rye
1050555;Rye Sønderskov, Gl. Rye
1051153;Hem By, Voerladegård
1060151;Alling By, Alling
1060152;Bomholt Gde., Alling
1060551;Ersholt, Låsby
1060552;Flensted By, Låsby
1060553;Kalbygård Hgd., Låsby
1060554;Låsby By, Låsby
1061251;Hylling Skov, Tulstrup
1061252;Javngyde By, Tulstrup
1061253;Kilsgård, Tulstrup
1061254;Skovsrod Gde., Tulstrup
1061255;Tulstrup By, Tulstrup
1061256;Tørring By, Tulstrup
1070351;Båstrup By, Hylke
1070352;Brørup By, Hylke
1070353;Hylke By, Hylke
1070354;Jordbjerggård, Hylke
1070355;Nissumgård, Hylke
1070356;Ringkloster By, Hylke
1070357;Tammestrup Øde Gde., Hylke
1070358;Ustrup By, Hylke
1070751;Bjødstrup By, Ovsted
1070752;Ejer By, Ovsted
1070753;Ris By, Ovsted
1070754;Tammestrup Hgd., Ovsted
1070755;Tebstrup By, Ovsted
1070951;Havreballegård, Tåning
1070952;Horndrup By, Tåning
1070953;Tåning By, Tåning
2006651;Skanderborg Bygrunde
2006652;Skanderborg Markjorder
2006653;Edelsborg, Skanderborg Jorder
2006654;Forlev, Skanderborg Jorder
2006655;Gram, Skanderborg Jorder
2006656;Hestehaven, Skanderborg Jorder
2006657;Justenborg, Skanderborg Jorder
2006658;Mallinggård, Skanderborg Jorder
2006659;Ladegård, Skanderborg Jorder
2006660;Vrold, Skanderborg Jorder
2006661;Stilling, Skanderborg Jorder
820351;Dommerby By, Dommerby
820352;Tastum Sø, Dommerby
820851;Bruddal, Højslev
820852;Degnsgårde, Højslev
820853;Halskov By, Højslev
820854;Højslev By, Højslev
820855;Majgårde, Højslev
820856;Sejstrup By, Højslev
820857;Skaun, Højslev
820858;Skovgårde, Højslev
820859;Stårup By, Højslev
820860;Svenstrup By, Højslev
820861;Tastum Sø, Højslev
820862;Vinkel By, Højslev
820863;Vinkelplet Gde., Højslev
820864;Østerris By, Højslev
820953;Røgind, Kobberup
820954;Søby By, Kobberup
820957;Tastum Sø, Kobberup
821151;Lundø By, Lundø
821951;Bøstrup By, Ørslevkloster
821952;Hald By, Ørslevkloster
821953;Hejlskov By, Ørslevkloster
821954;Lund By, Ørslevkloster
821955;Lærkenborg, Ørslevkloster
821956;Ørslevkloster Hgd., Ørslevkloster
822051;Nr. Ørum By, Ørum
822052;Strandet Hgd., Ørum
822053;Sdr. Ørum By, Ørum
830151;Brøndum By, Brøndum
830152;Grove By, Brøndum
830153;Rettrup By, Brøndum
830251;Dølby Vestergård, Dølby
830252;Ejskær, Dølby
830253;Tolstrup, Dølby
830254;Trustrup By, Dølby
830255;V. Dølby By, Dølby
830256;Ø. Dølby By, Dølby
830257;Øksenvad By, Dølby
830351;Brøndumbæk, Hem
830352;Haldborg, Hem
830353;Hem By, Hem
830354;Krarup By, Hem
830451;Hindborg By, Hindborg
830551;Hvidbjerg By, Hvidbjerg
830552;Rettrup By, Hvidbjerg
830651;Frammerslev By, Oddense
830652;Kåstrup By, Oddense
830653;Ll. Ramsing By, Oddense
830654;Næstild By, Oddense
830655;Oddense By, Oddense
830656;Saugstrup, Oddense
830751;Otting By, Otting
831051;Refsgårde, Volling
831052;Volling By, Volling
840151;Astrup Hgd., Grinderslev
840152;Breum By, Grinderslev
840153;Brokholm Sø, Grinderslev
840154;Eskær Hgd., Grinderslev
840155;Grinderslev By, Grinderslev
840156;Grinderslevkloster Hgd., Grinderslev
840157;Mogenstrup By, Grinderslev
840158;Nørgård Hgd., Grinderslev
840159;Rærup By, Grinderslev
840160;Stouby By, Grinderslev
840161;Vejsmark, Grinderslev
840251;V. Grønning By, Grønning
840252;Ø. Grønning By, Grønning
840253;Ø. Lyby By, Grønning
840351;Jebjerg By, Jebjerg
840352;Nannerup By, Jebjerg
840451;Brokholm, Junget
840452;Grættrup By, Junget
840453;Junget By, Junget
840454;Jungetgård Hgd., Junget
840455;Junget Præstegård, Junget
840456;Skammergårds Mark, Junget
840457;Skove By, Junget
840551;Bostrup By, Lyby
840552;Dalgård, Lyby
840553;Intrup By, Lyby
840554;V. Lyby By, Lyby
840555;Ø. Lyby By, Lyby
840651;Gamstrup By, Roslev
840751;Kirkeby By, Rybjerg
840752;Yttrup Holmgård, Rybjerg
840753;Ilbjerg By, Rybjerg
840754;Rybjerg By, Rybjerg
840755;Yttrup By, Rybjerg
840851;Eskov, Selde
840852;Floutrup By, Selde
840853;Kjeldgård Hgd., Selde
840854;Lindum By, Selde
840855;Selde By, Selde
840951;Hedegårde, Thise
840952;Nr. Thise By, Thise
840953;Rotholmene, Thise
840954;Sdr. Thise By, Thise
840955;Vejsmark, Thise
841051;Hinnerup By, Thorum
841052;Ll. Thorum By, Thorum
841053;Møgelthorum By, Thorum
841054;Ø. Møjbæk, Thorum
850151;Åsted By, Åsted
850152;Åsted Skovgård, Åsted
850153;Grynderup Sø, Åsted
850154;Nissum By, Åsted
850155;Nøreng By, Åsted
850156;Risum By, Åsted
850157;Søgård, Åsted
850158;Østergård Hgd., Åsted
850251;Durup By, Durup
850252;Durup Gde., Durup
850253;Duruplund, Durup
850254;Toustrup By, Durup
850351;Fur Præstegård, Fur
850451;Sæby By, Glyngøre
850452;Glynge By, Glyngøre
850453;Nautrup By, Glyngøre
850454;Vile By, Glyngøre
850551;Harre By, Harre
850651;Bajlum By, Hjerk
850652;Hjerk By, Hjerk
850653;Vium By, Hjerk
850751;Bysted By, Nautrup
850752;Dalgårde, Nautrup
850753;Glynge By, Nautrup
850754;Grynderup Sø, Nautrup
850755;Nautrup By, Nautrup
850851;Roslev By, Roslev
850951;Grynderup By, Sæby
850952;Grynderup Sø, Sæby
850953;Holmgårde, Sæby
850954;Sæby By, Sæby
851051;Hegnet Hgd., Tøndering
851052;Tøndering By, Tøndering
851151;Vile By, Vile
860151;Gust By, Balling
860152;Næsbæk, Balling
860153;Nr. Balling By, Balling
860154;Nørby By, Balling
860155;Sdr. Balling By, Balling
860251;Håsum By, Håsum
860252;Kærgårdsholm Hgd., Håsum
860253;Håsum Torp By, Håsum
860351;Krejbjerg Grundvad, Krejbjerg
860352;Humlegård, Krejbjerg
860353;Krejbjerg By, Krejbjerg
860354;Nr. Andrup By, Krejbjerg
860451;Bustrup Hgd., Lem
860452;Hostrup Hgd., Lem
860453;Kurup, Lem
860454;Lem Præstegård, Lem
860455;Nr. Lem By, Lem
860456;Opperby By, Lem
860457;Sdr. Lem By, Lem
860458;V. Lem By, Lem
860551;Ålbæk By, Lihme
860552;Bavnsgård, Lihme
860553;Kås Hgd., Lihme
860554;Lihme By, Lihme
860555;Nørhede, Lihme
860556;Sinding, Lihme
860557;Sønderhede By, Lihme
860558;Vadum By, Lihme
860559;Smedemark By, Lihme
860560;V. Hærup, Lihme
860561;Ø. Hærup, Lihme
860651;Bustrup Hgd., Ramsing
860652;Ramsing By, Ramsing
860653;Sdr. Andrup By, Ramsing
860654;Visholm, Ramsing
860751;Rødding By, Rødding
860752;Rødding Grundvad, Rødding
860753;Spøttrup Hgd., Rødding
860851;Vejby By, Vejby
1240251;Bærs By, Estvad
1240252;Bærsholm, Estvad
1240253;Estvad By, Estvad
1240254;Estvadgård, Estvad
1240255;Estvadgårds Ndr. Hede, Estvad
1240256;Estvadgårds St. Hede, Estvad
1240257;Hesselbjerg Gde., Estvad
1240258;Kisum By, Estvad
1240259;Kisum Enge, Estvad
1240260;Lundhede, Estvad
1240261;Estvad Hede, Estvad
1240262;Ø. Lidegård, Estvad
1240751;Rønbjerg By, Rønbjerg
2005651;Skive Bygrunde
2005652;Skive Markjorder
2005653;Ny Skivehus, Skive Jorder
2005654;Krabbesholm, Skive Jorder
2005655;Skive Brårupjorder
2005656;Bilstrup, Skive Jorder
2005657;Egeris, Skive Jorder
2005658;Glattrup, Skive Jorder
2005659;Svansø, Skive Jorder
2005660;Vinde, Skive Jorder
2005661;Lund, Skive Jorder
2005662;Resen, Skive Jorder
720751;Barslev By, Hvidbjerg
720752;Borregård, Hvidbjerg
720753;Egebjerg By, Hvidbjerg
720754;Flovlev By, Hvidbjerg
720755;Helligkilde By, Hvidbjerg
720756;Helligkildegård, Hvidbjerg
720757;Hindsels Hgd., Hvidbjerg
720758;Hvidbjerg By, Hvidbjerg
720759;Kallerup By, Hvidbjerg
720760;Semb By, Hvidbjerg
720761;Smerup By, Hvidbjerg
720762;Styvel By, Hvidbjerg
720851;Jegindø By, Jegindø
720951;Jestrup By, Lyngs
720952;Lyngs By, Lyngs
720953;Lyngs Drag, Lyngs
721051;Bjørndal By, Odby
721052;Odby By, Odby
721053;Serup By, Odby
721054;Uglev By, Odby
721151;Helleris, Søndbjerg
721152;Hellerød By, Søndbjerg
721153;Søndbjerg By, Søndbjerg
1220151;Bastrup, Asp
1220152;Birkild By, Asp
1220153;Hestbæk Gde., Asp
1220154;Linde By, Asp
1220155;Lindtorp Hgd., Asp
1220156;Sivekærgård, Asp
1220157;Østerby, Asp
1220451;Fovsing By, Fovsing
1220551;Dalbygårde, Gimsing
1220552;Kvistrup Hgd., Gimsing
1220553;Den vestlige Del, Gimsing
1220851;Den mellemste Del, Hjerm
1220852;Den nordlige Del, Hjerm
1220853;Den sydlige Del, Hjerm
1220854;Hjerm Gde., Hjerm
1220855;Hjerm Hede, Hjerm
1220856;V. Avsum, Hjerm
1220857;Volstrup Hgd., Hjerm
1221351;Avsumgård Hgd., Vejrum
1221352;Den mellemste Del, Vejrum
1221353;Den nordlige Del, Vejrum
1221354;Den sydlige Del, Vejrum
1221551;V. Ølby By, Ølby
1221552;Ø. Ølby By, Ølby
1260651;Bramstrup, Humlum
1260652;Bredalsgård, Humlum
1260653;Brejnholt, Humlum
1260654;Gadegård, Humlum
1260655;Strandbjerggård Hgd., Humlum
1260656;Tagård, Humlum
1260657;Vejbjerggård Hgd., Humlum
1261351;Den sydlige Del, Resen
1261352;Den vestlige Del, Resen
1261353;Den østlige Del, Resen
1261354;Kokholm Gde., Resen
1261355;Makholm Gde., Resen
1261356;Mattrup, Resen
1261357;Resen By, Resen
1261358;Toftum Gde., Resen
1261359;Ø. Toftum, Resen
1261651;Venø By, Venø
2007451;Struer
910351;Halling By, Halling
910352;Villendrup By, Halling
930651;Bendstrup By, Hvilsager
930652;Bøjen By, Hvilsager
930653;Dalsgård, Hvilsager
930654;Hejlskov By, Hvilsager
930655;Hvilsager By, Hvilsager
930656;Kastrup By, Hvilsager
930657;Skaføgård Hgd., Hvilsager
930658;Termestrup By, Hvilsager
930851;Attrup By, Koed
930852;Koed By, Koed
930853;Kolindsund, Koed
930854;Kærende By, Koed
930855;Stadsborg, Koed
930856;Vedø Hgd., Koed
931051;Borupgård, Krogsbæk
931052;Fårup By, Krogsbæk
931053;Karlby By, Krogsbæk
931151;Lemmer By, Lime
931152;Lime By, Lime
931251;Brunmose Gde., Marie Magdalene
931252;Bøjstrup, Marie Magdalene
931253;Marie Magdalene By, Marie Magdalene
931254;Pindstrup By, Marie Magdalene
931255;Ryomgård Hgd., Marie Magdalene
931256;Fjeld Skov, Marie Magdalene
931351;Mygind By, Mygind
931551;Skader By, Skader
931651;Andi By, Skørring
931652;Skørring By, Skørring
931751;Estrup Gde., Søby
931752;Søby By, Søby
941251;Battrupholt, Nimtofte
941252;Kolstrup, Nimtofte
941253;Løvenholm Hgd., Nimtofte
941254;Mogenstrup By, Nimtofte
941255;Nimtofte By, Nimtofte
941256;Ramten Mølle, Nimtofte
941257;Sjørup By, Nimtofte
941258;Sjørupgård, Nimtofte
941259;Svenstrup By, Nimtofte
941451;Kolindsund, Tøstrup
941452;Koustrup By, Tøstrup
941453;Sivested By, Tøstrup
941454;Skiffard By, Tøstrup
941455;Tøstrup By, Tøstrup
950151;Bjødstrup By, Bregnet
950152;Følle By, Bregnet
950153;Følle Mølle, Bregnet
950154;Kalø Hgd., Bregnet
950155;Korup By, Bregnet
950156;Korupsø, Bregnet
950157;Rønde By, Bregnet
950451;Eskerod By, Hornslet
950452;Havhuse, Hornslet
950453;Hornslet By, Hornslet
950454;Krajbjerg By, Hornslet
950455;Rodskov By, Hornslet
950456;Rosenholm Hgd., Hornslet
950457;Sophie-Amaliegård Skov, Hornslet
950458;Tendrup By, Hornslet
950651;Bale By, Mørke
950652;Balskov, Mørke
950653;Dagstrup By, Mørke
950654;Mørke By, Mørke
950655;Ommestrup By, Mørke
950656;Trælgård, Mørke
950657;Ugelbølle By, Mørke
950751;Astrup By, Skarresø
950752;Mesballe By, Skarresø
950753;Skarresø By, Skarresø
950754;Tjerrild By, Skarresø
950951;Fårup By, Thorsager
950952;Hvidtvedgård, Thorsager
950953;Korupsø, Thorsager
950954;Rostved By, Thorsager
950955;Skrejrup By, Thorsager
950956;Thorsager By, Thorsager
960151;Agri By, Agri
960152;Basballe By, Agri
960153;Essendrup By, Agri
960154;Grønfeld By, Agri
960155;Strandkær By, Agri
960251;Boeslum By, Dråby
960252;Dråby By, Dråby
960253;Egsmark By, Dråby
960254;Handrup By, Dråby
960255;Holme By, Dråby
960256;Lyngsbæk By, Dråby
960257;Lyngsbækgård Hgd., Dråby
960258;Skærsø Hgd., Dråby
960259;Skovmølle, Dråby
960260;Stubbe By, Dråby
960261;Ørnbjerg Mølle, Dråby
960351;Egens By, Egens
960451;Borup By, Helgenæs
960452;Esby By, Helgenæs
960453;Fejrup By, Helgenæs
960454;Kongsgård Indmark, Helgenæs
960455;Kongsgård Klæbjerg Mark, Helgenæs
960456;Kongsgård Rugdals Mark, Helgenæs
960457;Stødov By, Helgenæs
960458;Ørby By, Helgenæs
960551;Knebel By, Knebel
960552;Lynge Gde., Knebel
960553;Skellerup By, Knebel
960651;Rolsøgård Hgd., Rolsø
960652;Vrinners By, Rolsø
960751;Bjødstrup By, Tved
960752;Blåkær By, Tved
960753;Dejret By, Tved
960754;Eg By, Tved
960755;Isgård Hgd., Tved
960756;Kvelstrup Hgd., Tved
960757;Landborup By, Tved
960758;Tillerup By, Tved
960759;Torup By, Tved
960760;Tved By, Tved
960851;Begtrup By, Vistoft
960852;Bogens By, Vistoft
960853;Fuglsø By, Vistoft
960854;Viderup By, Vistoft
960855;Strands By, Vistoft
960856;Vistoft By, Vistoft
970351;Ebdrup By, Ebdrup
970451;Essig By, Feldballe
970452;Feldballe By, Feldballe
970453;Hedegård, Feldballe
970454;Kejlstrup By, Feldballe
970455;Korupsø, Feldballe
970456;Møllerup Hgd., Feldballe
970457;Skårup By, Feldballe
970458;Snedkerhus, Feldballe
970459;Søholt, Feldballe
970460;Tåstrup By, Feldballe
970461;Ulstrup By, Feldballe
970551;Fuglslev By, Fuglslev
970552;Gravlev By, Fuglslev
970553;Søholt, Fuglslev
970851;Hyllested Skovgårde, Hyllested
970852;Hyllested By, Hyllested
970951;Bugtrup By, Kolind
970952;Kolind By, Kolind
970953;Kolindsund, Kolind
971151;Horstved By, Nødager
971152;Ildbjerg, Nødager
971153;Kelstrup By, Nødager
971154;Kolindsund, Nødager
971155;Krarup By, Nødager
971156;Mårup By, Nødager
971157;Nødager By, Nødager
971158;Pederstrup By, Nødager
971159;Skeldrup, Nødager
971160;Stabrand By, Nødager
971251;Attrup By, Rosmus
971252;Balle By, Rosmus
971253;Rosmus By, Rosmus
971254;Rugård Hgd., Rosmus
971255;Ørup By, Rosmus
971351;Drammelstrup By, Tirstrup
971352;Gråskegårde, Tirstrup
971353;Høgholm Hgd., Tirstrup
971354;Nøruplund, Tirstrup
971355;Skramsø Mølle, Tirstrup
971356;Snedkerhus, Tirstrup
971357;Tirstrup By, Tirstrup
971358;Øksenmølle By, Tirstrup
2006251;Ebeltoft Bygrunde
2006252;Ebeltoft Markjorder
2006253;Elsegårde, Ebeltoft Jorder
2006254;Hjelm, Ebeltoft Jorder
2006255;Skovgårde, Ebeltoft Jorder
2006256;Øerne, Ebeltoft Jorder
750151;Asmildkloster Hgd., Asmild
750152;Dalsgård, Asmild
750153;Gl. Asmild By, Asmild
750154;Ll. Asmild, Asmild
750155;Overlund By, Asmild
750156;Rindsholm, Asmild
750157;Søgårde, Asmild
750251;Bigum By, Bigum
750351;Dollerup By, Dollerup
750352;Fallesgårde, Dollerup
750353;Hald Hgd., Dollerup
750354;Nonbo, Dollerup
750451;Agerskov, Finderup
750452;Finderup By, Finderup
750453;Hellerup, Finderup
750454;Fløjgårde, Finderup
750455;Vedhoved, Finderup
750551;Fiskbæk By, Fiskbæk
750552;Løgstrup By, Fiskbæk
750553;Rogenstrup By, Fiskbæk
750554;Meldgårde, Fiskbæk
750555;Ørregård, Fiskbæk
750651;Loldrup, Viborg
750652;Nørgård, Viborg
750653;Tougård, Viborg
750751;Lindum By, Lindum
750752;Sjørring By, Lindum
750753;Ushus, Lindum
750851;Åstrup, Løvel
750852;Kistrup, Løvel
750853;Løvel By, Løvel
750951;Pederstrup By, Pederstrup
750952;Vrå By, Pederstrup
751051;Bredsgårde, Ravnstrup
751052;Gårsdal, Ravnstrup
751053;Hallum, Ravnstrup
751054;Jegstrup By, Ravnstrup
751055;Ravnstrup By, Ravnstrup
751151;Boller, Romlund
751152;Kirkebæk By, Romlund
751153;Romlund By, Romlund
751154;Vesbæk, Romlund
751251;Batum By, Rødding
751252;Klarisgård, Rødding
751253;Kokholm, Rødding
751254;Rødding By, Rødding
751255;Sødal Hgd., Rødding
751256;Sdr. Ingstrup By, Rødding
751351;Skovsgård, Tapdrup
751352;Tapdrup By, Tapdrup
751353;Thisted By, Tapdrup
751451;Fastrup By, Vammen
751452;Norup, Vammen
751453;Sønderup, Vammen
751454;Torup, Vammen
751455;Vammen By, Vammen
751551;Hjarbæk By, Vorde
751552;Kølsen By, Vorde
751553;Lyngsø, Vorde
751554;Navntoft, Vorde
751555;Vorde By, Vorde
760151;Bjerregrav By, V. Bjerregrav
760152;Hørup By, V. Bjerregrav
760153;Løvelbro Eng, V. Bjerregrav
760154;Navndrup Gde., V. Bjerregrav
760155;Nørskovgård, V. Bjerregrav
760156;Over Hvolris By, V. Bjerregrav
760451;Hersom By, Hersom
760452;Hersomgård, Hersom
760453;Neder Hvolris By, Hersom
760454;Nørheden, Hersom
760455;Troestrup By, Hersom
760456;Ørris By, Hersom
760551;Hvam By, Hvam
760552;Kallestrup, Hvam
760553;Ll. Restrup Hgd., Hvam
760554;Tulstrup, Hvam
760652;Støttrup By, Hvilsom
760751;Fristrup By, Klejtrup
760752;Hejring By, Klejtrup
760753;Hærup By, Klejtrup
760754;Klejtrup By, Klejtrup
760755;Skårup, Klejtrup
760851;Nr. Borup By, Låstrup
760852;Nr. Rind By, Låstrup
760853;Sdr. Borup By, Låstrup
760854;V. Låstrup By, Låstrup
760855;Ø. Låstrup By, Låstrup
760951;Lynderup By, Lynderup
