Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse
1084,Hovedstaden,240,Egedal Kommune,21352,"Hove By, Smørum"
1084,Hovedstaden,240,Egedal Kommune,21353,"Nybølle By, Smørum"
1084,Hovedstaden,240,Egedal Kommune,21354,"Smørumnedre By, Smørum"
1084,Hovedstaden,240,Egedal Kommune,21355,"Smørumovre By, Smørum"
1084,Hovedstaden,240,Egedal Kommune,80451,"Hagerup By, Jørlunde"
1084,Hovedstaden,240,Egedal Kommune,80452,"Hagerup Sø, Jørlunde"
1084,Hovedstaden,240,Egedal Kommune,80453,"Jørlunde By, Jørlunde"
1084,Hovedstaden,240,Egedal Kommune,80455,"Skenkelsø By, Jørlunde"
1084,Hovedstaden,240,Egedal Kommune,80456,"Sperrestrup By, Jørlunde"
1084,Hovedstaden,240,Egedal Kommune,90251,"Ganløse By, Ganløse"
1084,Hovedstaden,240,Egedal Kommune,90252,"Knardrup By, Ganløse"
1084,Hovedstaden,240,Egedal Kommune,90351,"Slagslunde By, Slagslunde"
1084,Hovedstaden,240,Egedal Kommune,90551,"Stenlille By, Stenløse"
1084,Hovedstaden,240,Egedal Kommune,90552,"Stenløse By, Stenløse"
1084,Hovedstaden,240,Egedal Kommune,90553,"Søsum By, Stenløse"
1084,Hovedstaden,240,Egedal Kommune,90651,"Veksø By, Veksø"
1084,Hovedstaden,240,Egedal Kommune,90751,"Svestrup By, Ølstykke"
1084,Hovedstaden,240,Egedal Kommune,90752,"Udlejre By, Ølstykke"
1084,Hovedstaden,240,Egedal Kommune,90753,"Ølstykke By, Ølstykke"
1084,Hovedstaden,210,Fredensborg Kommune,120151,"Asminderød By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120152,"Båstrup By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120153,"Danstrup By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120154,"Danstrup Hegn, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120155,"Ebbekøb, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120156,"Endrup By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120157,"Fredensborg By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120158,"Højsager By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120159,"Langerød By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120160,"Langstrup By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120161,"Roland By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120162,"Søholm By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120163,"Sørup Hegn, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120164,"Veksebo By, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120165,"Esrum Sø, Asminderød"
1084,Hovedstaden,210,Fredensborg Kommune,120351,"Grønholt By, Grønholt"
1084,Hovedstaden,210,Fredensborg Kommune,120352,"Grønholt Hegn, Grønholt"
1084,Hovedstaden,210,Fredensborg Kommune,120353,"Lønholt By, Grønholt"
1084,Hovedstaden,210,Fredensborg Kommune,120354,"Sørup By, Grønholt"
1084,Hovedstaden,210,Fredensborg Kommune,120355,"Tulstrup Vang, Grønholt"
1084,Hovedstaden,210,Fredensborg Kommune,120356,"Esrum Sø, Grønholt"
1084,Hovedstaden,210,Fredensborg Kommune,120357,"Jesperhus, Grønholt"
1084,Hovedstaden,210,Fredensborg Kommune,120751,"Dageløkke By, Humlebæk"
1084,Hovedstaden,210,Fredensborg Kommune,120752,"Krogerup, Humlebæk"
1084,Hovedstaden,210,Fredensborg Kommune,120753,"Langstrup By, Humlebæk"
1084,Hovedstaden,210,Fredensborg Kommune,120754,"Nederste Torp By, Humlebæk"
1084,Hovedstaden,210,Fredensborg Kommune,120755,"Nybo By, Humlebæk"
1084,Hovedstaden,210,Fredensborg Kommune,120756,"Sletten, Humlebæk"
1084,Hovedstaden,210,Fredensborg Kommune,120757,"Toelt By, Humlebæk"
1084,Hovedstaden,210,Fredensborg Kommune,120758,"Øverste Torp By, Humlebæk"
1084,Hovedstaden,210,Fredensborg Kommune,130253,"Gunderød By, Blovstrød"
1084,Hovedstaden,210,Fredensborg Kommune,130451,"Avderød By, Karlebo"
