stedid;navn;brofast;antal
294d1f7a-fa5d-0fc1-e053-d480220ab903;Dronningøen;f;0
32064225-0518-fbb1-e053-d380220affab;Firken;f;0
331a7111-621f-773d-e053-d380220a06fe;Lilleø;f;0
331a7111-6221-773d-e053-d380220a06fe;Storeø;f;0
349b106a-9866-26d7-e053-d480220a3a58;Teglholm;f;0
34aea771-d42a-1f1c-e053-d480220a3db5;Nordø;f;0
34eb3e2b-dafc-a693-e053-d480220ade6d;Saviø;f;0
34eb3e2b-dafd-a693-e053-d480220ade6d;Vågeø;f;0
34eb3e2b-dafe-a693-e053-d480220ade6d;Tristø;f;0
34eb3e2b-daff-a693-e053-d480220ade6d;Rundø;f;0
34eb3e2b-db00-a693-e053-d480220ade6d;Horseø;f;0
34eb3e2b-db01-a693-e053-d480220ade6d;Gartnerø;f;0
34eb3e2b-db02-a693-e053-d480220ade6d;Streyfø;f;0
34eb3e2b-db03-a693-e053-d480220ade6d;Kirkeø;f;0
353b710b-1d2f-4164-e053-d380220a61e9;Engblomme Ø;f;0
35ed2efc-bad1-5fa5-e053-d380220a0aed;Vigøerne;f;0
3820f156-7c06-4629-e053-d480220ad1d0;Kaninøen;f;0
3b857592-965c-f7a1-e053-d380220a7b35;Møstingholm;f;0
3d285b1c-44be-eaec-e053-d480220ac885;Kaninø;f;0
3d285b1c-44bf-eaec-e053-d480220ac885;3. Kompagnis Ø;f;0
529db008-9c04-5c34-e053-d380220a7131;Kongsholm Ø;f;0
66cf42f7-7de6-4e52-e053-d380220ad055;Gåseholm;f;0
66cf42f7-7de7-4e52-e053-d380220ad055;Storeholm;f;0
66cf42f7-7de9-4e52-e053-d380220ad055;Brasenholm;f;0
66cf42f7-7dea-4e52-e053-d380220ad055;Stammerholm;f;0
66cf42f7-7dec-4e52-e053-d380220ad055;Hjorteholm;f;0
66cf42f7-7ded-4e52-e053-d380220ad055;Aagesholm;f;0
66cf42f7-7dee-4e52-e053-d380220ad055;Lille Traneholm;f;0
66cf42f7-7df0-4e52-e053-d380220ad055;Traneholm;f;0
66d022b4-1dad-7e14-e053-d480220ac87f;Louises Ø;f;0
