stedid;navn;brofast;antal
1233766a-0b3a-6b98-e053-d480220a5a3f;Eskilsø;f;2
12337669-e515-6b98-e053-d480220a5a3f;Langli;f;1
12337669-e674-6b98-e053-d480220a5a3f;Hindø;t;1
12337669-e7bb-6b98-e053-d480220a5a3f;Lindholm;f;1
12337669-e9cc-6b98-e053-d480220a5a3f;Lille Okseø;f;1
12337669-ea2b-6b98-e053-d480220a5a3f;Bastholm;f;1
12337669-ec07-6b98-e053-d480220a5a3f;Kidholme;f;1
12337669-f506-6b98-e053-d480220a5a3f;Fruens Holm;f;1
12337669-f559-6b98-e053-d480220a5a3f;Storeholm;f;1
12337669-f5ac-6b98-e053-d480220a5a3f;Bukø;f;1
12337669-f5b0-6b98-e053-d480220a5a3f;Eskilsø;f;1
12337669-f5bf-6b98-e053-d480220a5a3f;Kværnen;f;1
12337669-f5c2-6b98-e053-d480220a5a3f;Langø;t;1
12337669-f5c3-6b98-e053-d480220a5a3f;Lindø;t;1
12337669-f64c-6b98-e053-d480220a5a3f;Halmø;f;1
12337669-f651-6b98-e053-d480220a5a3f;Lilleø;f;1
12337669-f660-6b98-e053-d480220a5a3f;Græsholm;f;1
12337669-f672-6b98-e053-d480220a5a3f;Odden;f;1
12337669-f674-6b98-e053-d480220a5a3f;Lille Egholm;f;1
12337669-f67f-6b98-e053-d480220a5a3f;Vogterholm;f;1
12337669-f769-6b98-e053-d480220a5a3f;Kidholm;f;1
12337669-f790-6b98-e053-d480220a5a3f;Iholm;f;1
12337669-f846-6b98-e053-d480220a5a3f;Kidholm;f;1
12337669-f88d-6b98-e053-d480220a5a3f;Vigø;f;1
12337669-fa53-6b98-e053-d480220a5a3f;Tornø;t;1
12337669-fa54-6b98-e053-d480220a5a3f;Vigelsø;f;1
12337669-fbd4-6b98-e053-d480220a5a3f;Hundsholm;f;1
12337669-fc87-6b98-e053-d480220a5a3f;Vorsø;f;1
1233766a-02c8-6b98-e053-d480220a5a3f;Havneø;f;1
1233766a-02dc-6b98-e053-d480220a5a3f;Rågø Kalv;f;1
1233766a-02f2-6b98-e053-d480220a5a3f;Borgø;f;1
1233766a-031f-6b98-e053-d480220a5a3f;Rommerholm;f;1
1233766a-0321-6b98-e053-d480220a5a3f;Barneholm;f;1
1233766a-0326-6b98-e053-d480220a5a3f;Munkeholm;f;1
1233766a-0329-6b98-e053-d480220a5a3f;Slotø;f;1
1233766a-032b-6b98-e053-d480220a5a3f;Vejlø;f;1
1233766a-041a-6b98-e053-d480220a5a3f;Østerfed;f;1
1233766a-04b0-6b98-e053-d480220a5a3f;Vresen;f;1
1233766a-04dc-6b98-e053-d480220a5a3f;Rønnen;f;1
1233766a-066e-6b98-e053-d480220a5a3f;Musholm;f;1
1233766a-0804-6b98-e053-d480220a5a3f;Sønder Nyland;f;1
1233766a-0806-6b98-e053-d480220a5a3f;Hornfiskrøn;f;1
1233766a-080c-6b98-e053-d480220a5a3f;Lille Stenholm;f;1
1233766a-08c9-6b98-e053-d480220a5a3f;Tærø;f;1
1233766a-08fd-6b98-e053-d480220a5a3f;Masnedø Kalv;f;1
1233766a-0967-6b98-e053-d480220a5a3f;Maderne;f;1
1233766a-09ae-6b98-e053-d480220a5a3f;Dybsø;f;1
1233766a-09b5-6b98-e053-d480220a5a3f;Rønnen;f;1
1233766a-0a58-6b98-e053-d480220a5a3f;Gåseholm;f;1
1233766a-0a64-6b98-e053-d480220a5a3f;Trekroner;f;1
1233766a-0b78-6b98-e053-d480220a5a3f;Elleore;f;1
1233766a-0cfc-6b98-e053-d480220a5a3f;Klavs Nars Holm;f;1
1233766a-0dde-6b98-e053-d480220a5a3f;Alholm;f;1
1233766a-0f9d-6b98-e053-d480220a5a3f;Peberholm;t;1
319d82eb-6793-8fe4-e053-d380220a5f71;Middelgrunds Fort;f;1
319d82eb-6794-8fe4-e053-d380220a5f71;Flakfortet;f;1
564e1e26-3f8c-d458-e053-d480220a2d36;Slotsholmen;t;1
12337669-e616-6b98-e053-d480220a5a3f;Præstens Ø;f;0
12337669-e621-6b98-e053-d480220a5a3f;Høje Sande;f;0
12337669-e629-6b98-e053-d480220a5a3f;Bjerregård Pold;f;0
12337669-e62b-6b98-e053-d480220a5a3f;Grønodde Pold;f;0
12337669-e62c-6b98-e053-d480220a5a3f;Hans Jepsens Pold;f;0
12337669-e62f-6b98-e053-d480220a5a3f;Opgrøden;f;0
12337669-e635-6b98-e053-d480220a5a3f;Gødel Pold;f;0
12337669-e639-6b98-e053-d480220a5a3f;Hejdes Pold;f;0
12337669-e642-6b98-e053-d480220a5a3f;Haurvig Pold;f;0
12337669-e645-6b98-e053-d480220a5a3f;Olsens Pold;f;0
12337669-e648-6b98-e053-d480220a5a3f;Anholt;f;0
12337669-e64b-6b98-e053-d480220a5a3f;Vinterleje Pold;f;0
12337669-e679-6b98-e053-d480220a5a3f;Svellebusk;t;0
12337669-e67c-6b98-e053-d480220a5a3f;Baggers Dæmning;t;0
12337669-e76a-6b98-e053-d480220a5a3f;Svinmade;t;0
12337669-e76c-6b98-e053-d480220a5a3f;Fjandø;f;0
12337669-e76d-6b98-e053-d480220a5a3f;Kolling Ø;f;0
12337669-e7d6-6b98-e053-d480220a5a3f;Ejerslev Røn;f;0
12337669-e882-6b98-e053-d480220a5a3f;Hjortholm;f;0
12337669-e89c-6b98-e053-d480220a5a3f;Fuglholm;f;0
12337669-e947-6b98-e053-d480220a5a3f;Madstedborg;t;0
12337669-e9ad-6b98-e053-d480220a5a3f;Katholm;f;0
12337669-ea25-6b98-e053-d480220a5a3f;Egholm;t;0
12337669-ea2c-6b98-e053-d480220a5a3f;Linderum;f;0
12337669-ea2d-6b98-e053-d480220a5a3f;Småholme;f;0
12337669-ea35-6b98-e053-d480220a5a3f;Fuglehage;f;0
12337669-ea38-6b98-e053-d480220a5a3f;Randholm;f;0
12337669-ea39-6b98-e053-d480220a5a3f;Storholm;f;0
12337669-ea4b-6b98-e053-d480220a5a3f;Djævleø;f;0
12337669-ea65-6b98-e053-d480220a5a3f;Smedholm;f;0
12337669-eab2-6b98-e053-d480220a5a3f;Boghoved;f;0
12337669-eabd-6b98-e053-d480220a5a3f;Lindholm;f;0
12337669-ebed-6b98-e053-d480220a5a3f;Fænø Kalv;f;0
12337669-ec09-6b98-e053-d480220a5a3f;Krabborre;f;0
12337669-ed7c-6b98-e053-d480220a5a3f;Sankt Helene;f;0
12337669-edea-6b98-e053-d480220a5a3f;Salten Ø;f;0
12337669-ee4b-6b98-e053-d480220a5a3f;Annekens Ø;f;0
12337669-ee4f-6b98-e053-d480220a5a3f;Borre Ø;f;0
12337669-ee51-6b98-e053-d480220a5a3f;Bredø;f;0
12337669-ee67-6b98-e053-d480220a5a3f;Højø;f;0
12337669-ee70-6b98-e053-d480220a5a3f;Langø;f;0
12337669-ee71-6b98-e053-d480220a5a3f;Langø;f;0
12337669-ee8e-6b98-e053-d480220a5a3f;Alø;f;0
12337669-ee90-6b98-e053-d480220a5a3f;Bregnø;f;0
12337669-ee98-6b98-e053-d480220a5a3f;Lilleø;f;0
12337669-ef84-6b98-e053-d480220a5a3f;Vandø;f;0
12337669-f38e-6b98-e053-d480220a5a3f;Hornsgård Holm;f;0
12337669-f390-6b98-e053-d480220a5a3f;Klosterholm;f;0
12337669-f394-6b98-e053-d480220a5a3f;Tøtten;f;0
12337669-f395-6b98-e053-d480220a5a3f;Vår Holm;f;0
12337669-f398-6b98-e053-d480220a5a3f;Rønholm;f;0
12337669-f48e-6b98-e053-d480220a5a3f;Termø;f;0
12337669-f4aa-6b98-e053-d480220a5a3f;Store Rotholm;f;0
12337669-f4ae-6b98-e053-d480220a5a3f;Borreholm;f;0
12337669-f4d3-6b98-e053-d480220a5a3f;Blinderøn;f;0
12337669-f4e1-6b98-e053-d480220a5a3f;Slottet;f;0
12337669-f55a-6b98-e053-d480220a5a3f;Dejrø;f;0
12337669-f55b-6b98-e053-d480220a5a3f;Grensholm;f;0
12337669-f55f-6b98-e053-d480220a5a3f;Asholm;f;0
12337669-f560-6b98-e053-d480220a5a3f;Lille Rallen;f;0
12337669-f561-6b98-e053-d480220a5a3f;Store Rallen;f;0
12337669-f5ad-6b98-e053-d480220a5a3f;Kueholm;f;0
12337669-f658-6b98-e053-d480220a5a3f;Langholm;f;0
12337669-f659-6b98-e053-d480220a5a3f;Langholmshoved;f;0
12337669-f65a-6b98-e053-d480220a5a3f;Lindholm;f;0
12337669-f65d-6b98-e053-d480220a5a3f;Danmark;f;0
12337669-f65f-6b98-e053-d480220a5a3f;Grydholm;f;0
12337669-f669-6b98-e053-d480220a5a3f;Mejlholm;f;0
12337669-f66d-6b98-e053-d480220a5a3f;Vibeholm;f;0
12337669-f676-6b98-e053-d480220a5a3f;Nyland;f;0
12337669-f678-6b98-e053-d480220a5a3f;Bondeholm;f;0
12337669-f679-6b98-e053-d480220a5a3f;Bredholm;f;0
12337669-f67a-6b98-e053-d480220a5a3f;Buddiken;f;0
12337669-f67b-6b98-e053-d480220a5a3f;Græsholm;f;0
12337669-f6f4-6b98-e053-d480220a5a3f;Flæskholm;f;0
12337669-f77c-6b98-e053-d480220a5a3f;Storeholm;f;0
12337669-f782-6b98-e053-d480220a5a3f;Kirsebærholm;f;0
12337669-f783-6b98-e053-d480220a5a3f;Lilleholm;f;0
12337669-f797-6b98-e053-d480220a5a3f;Lucieø;f;0
12337669-f852-6b98-e053-d480220a5a3f;Skålholm;f;0
12337669-f870-6b98-e053-d480220a5a3f;Fiskeholm;f;0
12337669-f885-6b98-e053-d480220a5a3f;Horsehoved;f;0
12337669-f9ac-6b98-e053-d480220a5a3f;Æbelø Holm;f;0
12337669-f9ec-6b98-e053-d480220a5a3f;Bogø;f;0
12337669-f9ef-6b98-e053-d480220a5a3f;Enø;f;0
12337669-f9f5-6b98-e053-d480220a5a3f;Mejlø;f;0
12337669-f9fd-6b98-e053-d480220a5a3f;Vejlø;t;0
12337669-f9fe-6b98-e053-d480220a5a3f;Vejlø Kalv;f;0
12337669-f9ff-6b98-e053-d480220a5a3f;Ægø;f;0
12337669-fa39-6b98-e053-d480220a5a3f;Middelgrund;f;0
12337669-fa41-6b98-e053-d480220a5a3f;Dørholm;f;0
12337669-fa43-6b98-e053-d480220a5a3f;Pludderholm;f;0
12337669-fa45-6b98-e053-d480220a5a3f;Roholm;f;0
12337669-fa46-6b98-e053-d480220a5a3f;Skalø;f;0
12337669-fa49-6b98-e053-d480220a5a3f;Flintholm;f;0
12337669-fa55-6b98-e053-d480220a5a3f;Store Ægholm;f;0
12337669-fa59-6b98-e053-d480220a5a3f;Galgeholm;f;0
12337669-fa5d-6b98-e053-d480220a5a3f;Skålholm;f;0
12337669-fa65-6b98-e053-d480220a5a3f;Kyholm;f;0
12337669-fa66-6b98-e053-d480220a5a3f;Leammer;f;0
12337669-fa67-6b98-e053-d480220a5a3f;Trindelen;f;0
12337669-fa69-6b98-e053-d480220a5a3f;Ægholm;f;0
12337669-fa9c-6b98-e053-d480220a5a3f;Drætlingen;f;0
12337669-fb6b-6b98-e053-d480220a5a3f;Rønnen;f;0
12337669-fba5-6b98-e053-d480220a5a3f;Kyholm;f;0
12337669-fbab-6b98-e053-d480220a5a3f;Lindholm;f;0
12337669-fbad-6b98-e053-d480220a5a3f;Vejrø;f;0
12337669-fbae-6b98-e053-d480220a5a3f;Ørhage;f;0
12337669-fbd0-6b98-e053-d480220a5a3f;Brokold;f;0
12337669-fbd2-6b98-e053-d480220a5a3f;Eskeholm;f;0
12337669-fbd3-6b98-e053-d480220a5a3f;Hjortholm;f;0
12337669-fbd7-6b98-e053-d480220a5a3f;Karlskold;f;0
12337669-fbdb-6b98-e053-d480220a5a3f;Mejlesholm;f;0
12337669-fbde-6b98-e053-d480220a5a3f;Sværm;f;0
12337669-fbdf-6b98-e053-d480220a5a3f;Yderste Holm;f;0
12337669-fbe0-6b98-e053-d480220a5a3f;Ægholm;f;0
12337669-fc5f-6b98-e053-d480220a5a3f;Hov Røn;f;0
12337669-fc88-6b98-e053-d480220a5a3f;Vorsø Kalv;f;0
12337669-fd21-6b98-e053-d480220a5a3f;Kalvø;f;0
12337669-fd2a-6b98-e053-d480220a5a3f;Sankt Thomas;f;0
12337669-fd30-6b98-e053-d480220a5a3f;Æbelø;f;0
12337669-ff9f-6b98-e053-d480220a5a3f;Stenrevet;f;0
12337669-ffe2-6b98-e053-d480220a5a3f;Skanhagen;f;0
1233766a-0011-6b98-e053-d480220a5a3f;Knapperne;f;0
1233766a-0013-6b98-e053-d480220a5a3f;Lindbjerg Holm;f;0
1233766a-0016-6b98-e053-d480220a5a3f;Pilegårdsholm;f;0
1233766a-001a-6b98-e053-d480220a5a3f;Svaletørven;f;0
1233766a-001b-6b98-e053-d480220a5a3f;Tagholm;f;0
1233766a-0059-6b98-e053-d480220a5a3f;Lille Plet;f;0
1233766a-005a-6b98-e053-d480220a5a3f;Pletten;f;0
1233766a-005b-6b98-e053-d480220a5a3f;Treskelbakke Holm;f;0
1233766a-00ca-6b98-e053-d480220a5a3f;Ladestedsrevl;f;0
1233766a-013a-6b98-e053-d480220a5a3f;Lille Knot;f;0
1233766a-021d-6b98-e053-d480220a5a3f;Deget;f;0
1233766a-021f-6b98-e053-d480220a5a3f;Græsholm;f;0
1233766a-0223-6b98-e053-d480220a5a3f;Hjellen;f;0
1233766a-0224-6b98-e053-d480220a5a3f;Kovsholm;f;0
1233766a-0225-6b98-e053-d480220a5a3f;Kølpen;f;0
1233766a-0226-6b98-e053-d480220a5a3f;Møgholm;f;0
1233766a-022b-6b98-e053-d480220a5a3f;Tyvholm;f;0
1233766a-02bd-6b98-e053-d480220a5a3f;Skellerev;f;0
1233766a-02c6-6b98-e053-d480220a5a3f;Vigsø;f;0
1233766a-02e1-6b98-e053-d480220a5a3f;Stålgrund Sand;f;0
1233766a-02f1-6b98-e053-d480220a5a3f;Askø;f;0
1233766a-02f3-6b98-e053-d480220a5a3f;Fruerø;f;0
1233766a-02f4-6b98-e053-d480220a5a3f;Hestø;f;0
1233766a-02f8-6b98-e053-d480220a5a3f;Lindø;f;0
1233766a-02fb-6b98-e053-d480220a5a3f;Præstø;f;0
1233766a-0301-6b98-e053-d480220a5a3f;Worsåes Ø;f;0
1233766a-0306-6b98-e053-d480220a5a3f;Lilleager;f;0
1233766a-0307-6b98-e053-d480220a5a3f;Storeager;f;0
1233766a-0308-6b98-e053-d480220a5a3f;Hylleholm;f;0
1233766a-0309-6b98-e053-d480220a5a3f;Kalveholm;f;0
1233766a-030a-6b98-e053-d480220a5a3f;Lindholm;f;0
1233766a-030d-6b98-e053-d480220a5a3f;Tjørneholm;f;0
1233766a-031b-6b98-e053-d480220a5a3f;Vensholm;f;0
1233766a-0322-6b98-e053-d480220a5a3f;Dueholm;f;0
1233766a-0324-6b98-e053-d480220a5a3f;Kåreholm;f;0
1233766a-032a-6b98-e053-d480220a5a3f;Smedeholm;f;0
1233766a-03ad-6b98-e053-d480220a5a3f;Fugleholm;f;0
1233766a-03b6-6b98-e053-d480220a5a3f;Kidholm;f;0
1233766a-03c1-6b98-e053-d480220a5a3f;Sandholm;f;0
1233766a-03cd-6b98-e053-d480220a5a3f;Fuglehøj;f;0
1233766a-03d6-6b98-e053-d480220a5a3f;Ormø;f;0
1233766a-03fe-6b98-e053-d480220a5a3f;Kyholm;f;0
1233766a-0401-6b98-e053-d480220a5a3f;Lindholm;f;0
1233766a-0403-6b98-e053-d480220a5a3f;Skakholm;f;0
1233766a-0415-6b98-e053-d480220a5a3f;Stenfed;f;0
1233766a-0545-6b98-e053-d480220a5a3f;Magleholm;f;0
1233766a-05ed-6b98-e053-d480220a5a3f;Ingemanns Ø;f;0
1233766a-066f-6b98-e053-d480220a5a3f;Nordholm;f;0
1233766a-0800-6b98-e053-d480220a5a3f;Knogen;f;0
1233766a-0801-6b98-e053-d480220a5a3f;Store Knot;f;0
1233766a-0802-6b98-e053-d480220a5a3f;Lille Knot;f;0
1233766a-0803-6b98-e053-d480220a5a3f;Stokken;f;0
1233766a-0805-6b98-e053-d480220a5a3f;Juhl Thurens Ø;f;0
1233766a-0808-6b98-e053-d480220a5a3f;Borfeld;f;0
1233766a-081b-6b98-e053-d480220a5a3f;Djævleø;f;0
1233766a-081c-6b98-e053-d480220a5a3f;Fugleholm;f;0
1233766a-0895-6b98-e053-d480220a5a3f;Store Skåne;f;0
1233766a-089b-6b98-e053-d480220a5a3f;Kalveholm;t;0
1233766a-08a5-6b98-e053-d480220a5a3f;Kalvø;f;0
1233766a-08a7-6b98-e053-d480220a5a3f;Kejlsø;f;0
1233766a-08a8-6b98-e053-d480220a5a3f;Lilleø;f;0
1233766a-08be-6b98-e053-d480220a5a3f;Lilleø;f;0
1233766a-08d2-6b98-e053-d480220a5a3f;Malurtholm;f;0
1233766a-08d3-6b98-e053-d480220a5a3f;Pindholm;f;0
1233766a-08ef-6b98-e053-d480220a5a3f;Hjelm Ø;f;0
1233766a-08f5-6b98-e053-d480220a5a3f;Dyrefod;f;0
1233766a-08f9-6b98-e053-d480220a5a3f;Skåneholm;f;0
1233766a-08fa-6b98-e053-d480220a5a3f;Suderø;f;0
1233766a-0947-6b98-e053-d480220a5a3f;Degneholm;f;0
1233766a-094a-6b98-e053-d480220a5a3f;Ægholm;f;0
1233766a-094b-6b98-e053-d480220a5a3f;Klyholm;f;0
1233766a-094f-6b98-e053-d480220a5a3f;Tyreholm;f;0
1233766a-0966-6b98-e053-d480220a5a3f;Lilleholm;f;0
1233766a-096c-6b98-e053-d480220a5a3f;Storeholm;f;0
1233766a-09a1-6b98-e053-d480220a5a3f;Avnø Røn;f;0
1233766a-09a2-6b98-e053-d480220a5a3f;Hylteholme;f;0
1233766a-0a25-6b98-e053-d480220a5a3f;Gødensholm;f;0
1233766a-0a65-6b98-e053-d480220a5a3f;Fugleøen;f;0
1233766a-0a6f-6b98-e053-d480220a5a3f;Fiskeøen;f;0
1233766a-0b3c-6b98-e053-d480220a5a3f;Flængholm;f;0
1233766a-0b41-6b98-e053-d480220a5a3f;Hyldeholm;f;0
